ID;Regiokenmerken;Perioden;TotaalGemeentelijkeHeffingen_1;TotaalBelastingen_2;OnroerendeZaakbelastingGebruikers_3;OnroerendeZaakbelastingEigenaren_4;Hondenbelasting_5;Toeristenbelasting_6;Reclamebelasting_7;Baatbelasting_8;Forensenbelasting_9;Parkeerbelasting_10;Precariobelasting_11;RoerendeWoonEnBedrijfsrBelastingen_12;TotaalRetributies_13;RioolheffingGecombineerd_14;RioolheffingHuishoudelijkBedrijfafval_15;RioolheffingGrondEnHemelwater_16;ReinigingsrechtenEnAfvalstoffenheffing_17;Begraafplaatsrechten_18;Bouwvergunningen_19;SecretarielegesBurgerzaken_20;Marktgelden_21;TotaalGemeentelijkeHeffingen_22;TotaalBelastingen_23;OnroerendeZaakbelastingGebruikers_24;OnroerendeZaakbelastingEigenaren_25;Hondenbelasting_26;Toeristenbelasting_27;Reclamebelasting_28;Baatbelasting_29;Forensenbelasting_30;Parkeerbelasting_31;Precariobelasting_32;RoerendeWoonEnBedrijfsrBelastingen_33;TotaalRetributies_34;RioolheffingGecombineerd_35;RioolheffingHuishoudelijkBedrijfafval_36;RioolheffingGrondEnHemelwater_37;ReinigingsrechtenEnAfvalstoffenheffing_38;Begraafplaatsrechten_39;Bouwvergunningen_40;SecretarielegesBurgerzaken_41;Marktgelden_42
0;Nederland;2004;6893.0;3994.0;1491.0;1886.0;47.0;105.0;10.0;4.0;19.0;355.0;73.0;4.0;2898.0;854.0;;;1507.0;;338.0;200.0;;424.0;246.0;92.0;116.0;3.0;6.0;1.0;0.0;1.0;22.0;5.0;0.0;178.0;53.0;;;93.0;;21.0;12.0;
1;Nederland;2005;7506.0;4295.0;1583.0;2030.0;51.0;110.0;12.0;3.0;21.0;399.0;83.0;3.0;3211.0;920.0;;;1620.0;;453.0;218.0;;460.0;263.0;97.0;124.0;3.0;7.0;1.0;0.0;1.0;24.0;5.0;0.0;197.0;56.0;;;99.0;;28.0;13.0;
2;Nederland;2006;6735.0;3297.0;514.0;2051.0;53.0;114.0;10.0;6.0;19.0;440.0;88.0;2.0;3438.0;1014.0;;;1642.0;;543.0;240.0;;412.0;202.0;31.0;126.0;3.0;7.0;1.0;0.0;1.0;27.0;5.0;0.0;210.0;62.0;;;101.0;;33.0;15.0;
3;Nederland;2007;7142.0;3497.0;527.0;2154.0;54.0;126.0;11.0;4.0;21.0;495.0;101.0;3.0;3645.0;1099.0;;;1701.0;;553.0;292.0;;437.0;214.0;32.0;132.0;3.0;8.0;1.0;0.0;1.0;30.0;6.0;0.0;223.0;67.0;;;104.0;;34.0;18.0;
4;Nederland;2008;7578.0;3652.0;539.0;2258.0;55.0;137.0;11.0;2.0;23.0;517.0;109.0;2.0;3926.0;1184.0;2.0;1.0;1714.0;98.0;603.0;296.0;29.0;462.0;223.0;33.0;138.0;3.0;8.0;1.0;0.0;1.0;32.0;7.0;0.0;239.0;72.0;0.0;0.0;104.0;6.0;37.0;18.0;2.0
5;Nederland;2009;7692.0;3802.0;574.0;2360.0;58.0;121.0;16.0;2.0;24.0;538.0;107.0;2.0;3890.0;1247.0;1.0;1.0;1748.0;98.0;455.0;309.0;31.0;467.0;231.0;35.0;143.0;3.0;7.0;1.0;0.0;1.0;33.0;7.0;0.0;236.0;76.0;0.0;0.0;106.0;6.0;28.0;19.0;2.0
6;Nederland;2010;7869.0;3942.0;596.0;2447.0;59.0;131.0;20.0;-4.0;25.0;564.0;103.0;2.0;3926.0;1281.0;22.0;2.0;1753.0;102.0;435.0;303.0;30.0;475.0;238.0;36.0;148.0;4.0;8.0;1.0;0.0;1.0;34.0;6.0;0.0;237.0;77.0;1.0;0.0;106.0;6.0;26.0;18.0;2.0
7;Nederland;2011;8112.0;4132.0;620.0;2550.0;61.0;148.0;19.0;2.0;26.0;598.0;106.0;2.0;3981.0;1342.0;23.0;3.0;1758.0;103.0;424.0;299.0;29.0;487.0;248.0;37.0;153.0;4.0;9.0;1.0;0.0;2.0;36.0;6.0;0.0;239.0;81.0;1.0;0.0;106.0;6.0;25.0;18.0;2.0
8;Nederland;2012;8320.0;4339.0;657.0;2679.0;64.0;159.0;20.0;1.0;28.0;610.0;119.0;2.0;3981.0;1393.0;23.0;3.0;1738.0;108.0;382.0;304.0;31.0;497.0;259.0;39.0;160.0;4.0;9.0;1.0;0.0;2.0;36.0;7.0;0.0;238.0;83.0;1.0;0.0;104.0;6.0;23.0;18.0;2.0
9;Nederland;2013;8417.0;4488.0;673.0;2772.0;65.0;167.0;21.0;1.0;30.0;621.0;137.0;2.0;3929.0;1443.0;10.0;3.0;1731.0;109.0;334.0;270.0;28.0;502.0;267.0;40.0;165.0;4.0;10.0;1.0;0.0;2.0;37.0;8.0;0.0;234.0;86.0;1.0;0.0;103.0;6.0;20.0;16.0;2.0
